segment_type,segment,applications,approval_rate,observed_bad_rate,average_pd,true_positive_rate,false_positive_rate,approval_rate_gap_vs_overall
age_band,25_39,90,0.4,0.2777777777777778,0.3040533874058098,0.92,0.47692307692307695,0.040000000000000036
age_band,40_54,50,0.44,0.28,0.2676081038011704,0.7142857142857143,0.5,0.08000000000000002
age_band,55_plus,21,0.3333333333333333,0.09523809523809523,0.3171067850482143,1.0,0.631578947368421,-0.026666666666666672
age_band,under_25,39,0.1794871794871795,0.48717948717948717,0.38363873230550094,0.8947368421052632,0.75,-0.1805128205128205
foreign_worker,no,6,0.8333333333333334,0.16666666666666666,0.2276219695732484,1.0,0.0,0.4733333333333334
foreign_worker,yes,194,0.34536082474226804,0.30412371134020616,0.3144362437374688,0.864406779661017,0.562962962962963,-0.014639175257731951
personal_status,female div/dep/mar,61,0.26229508196721313,0.32786885245901637,0.3411227137314843,0.9,0.6585365853658537,-0.09770491803278686
personal_status,male div/sep,9,0.0,0.3333333333333333,0.4487443605808854,1.0,1.0,-0.36
personal_status,male mar/wid,12,0.25,0.25,0.2844014227538191,0.6666666666666666,0.7777777777777778,-0.10999999999999999
personal_status,male single,118,0.4491525423728814,0.288135593220339,0.2890369597170687,0.8529411764705882,0.42857142857142855,0.0891525423728814
