reporting_month,ifrs9_stage,accounts,exposure,ecl_provision,exposure_share,provision_share,coverage_ratio
2021-09-30,Stage 1,73,1583838.22,32966.2756463622,1.0,1.0,0.02081416853696219
2021-10-31,Stage 1,153,3013484.73,74866.6110480386,0.9956186017861934,0.9883705336791585,0.02484386607395837
2021-10-31,Stage 2,1,13261.38,880.9031654330387,0.004381398213806575,0.0116294663208416,0.06642620643047999
2021-11-30,Stage 1,230,4255700.39,94823.4066748088,0.9926187327189729,0.9719122687462566,0.022281504331842495
2021-11-30,Stage 2,2,31646.05,2740.3444208828955,0.007381267281027097,0.02808773125374334,0.0865935692095189
2021-12-31,Stage 1,297,5232023.59,119434.3214604544,0.994892879623127,0.9849040853498541,0.022827557904885977
2021-12-31,Stage 2,1,26857.74,1830.6049795952183,0.005107120376873003,0.015095914650145969,0.06815930825137254
2022-01-31,Stage 1,378,6649975.62,147523.631525481,0.9945849303384777,0.9767813941090006,0.02218408607120292
2022-01-31,Stage 2,2,36206.14,3506.71407200959,0.005415069661522333,0.02321860589099953,0.0968541267312558
2022-02-28,Stage 1,454,7983863.62,172113.3658858602,0.9954662396395991,0.9350234145742843,0.021557653546925216
2022-02-28,Stage 2,1,9443.37,1731.4948648052443,0.001177444464341364,0.009406522453820914,0.18335560978816293
2022-02-28,Stage 3,1,26918.41,10228.9958,0.0033563158960594796,0.05557006297189475,0.38
2022-03-31,Stage 1,537,9327585.77,198794.0418854,0.9839318253151086,0.8762178479677109,0.021312486080243248
2022-03-31,Stage 2,5,125193.19,17773.34029683117,0.013206157197707676,0.07833895743749125,0.14196730905915225
2022-03-31,Stage 3,1,27131.67,10310.034599999999,0.002862017487183843,0.045443194594797905,0.38
2022-04-30,Stage 1,611,10494262.48,223725.8166576176,0.992242991677919,0.9590803089410634,0.02131886991429793
2022-04-30,Stage 2,6,82040.47,9545.385526313195,0.007757008322081016,0.04091969105893665,0.11634971772240207
2022-05-31,Stage 1,705,11956510.17,255049.7054944902,0.9958507196478933,0.950971647649483,0.02133145055439619
2022-05-31,Stage 2,3,32783.36,2588.1169946288665,0.002730506827183668,0.009649985197669679,0.0789460566161878
2022-05-31,Stage 3,1,17034.26,10561.241199999999,0.0014187735249230607,0.03937836715284727,0.62
2022-06-30,Stage 1,778,12877272.17,274072.555690765,0.9856477677765029,0.9230597264074466,0.02128343270784227
2022-06-30,Stage 2,9,187508.77000000002,22844.911131730718,0.0143522322234972,0.07694027359255341,0.12183382746167401
2022-07-31,Stage 1,863,14137878.8,307669.8966023606,0.9834237709772738,0.9122241984852556,0.02176209747974078
2022-07-31,Stage 2,10,228876.76,23760.3390261841,0.015920552834860945,0.07044808888765502,0.10381280749598212
2022-07-31,Stage 3,1,9426.12,5844.1944,0.0006556761878652051,0.017327712627089417,0.62
2022-08-31,Stage 1,951,15558041.21,337286.0174974268,0.9863512864267455,0.9062454710396638,0.021679208387790787
2022-08-31,Stage 2,10,205787.59,29004.738339843505,0.013046555886270189,0.07793211516505931,0.1409450314270336
2022-08-31,Stage 3,1,9498.03,5888.778600000001,0.0006021576869842872,0.015822413795276904,0.62
2022-09-30,Stage 1,1040,16609201.24,366211.5992678652,0.9893008448688266,0.8845708760006723,0.022048718296333026
2022-09-30,Stage 2,8,119767.09,10674.868728687987,0.007133737595949604,0.02578475941615622,0.08913023376194568
2022-09-30,Stage 3,2,59859.17999999999,37112.6916,0.0035654175352236965,0.08964436458317145,0.62
2022-10-31,Stage 1,1127,17599586.66,402808.5261913562,0.990928884200782,0.881549803290493,0.022887385594506694
2022-10-31,Stage 2,8,83487.88,5998.414697784277,0.004700709929780179,0.013127580359047536,0.07184773044643458
2022-10-31,Stage 3,3,77621.45000000001,48125.299,0.004370405869438004,0.10532261635045935,0.6199999999999999
2022-11-30,Stage 1,1199,18541041.06,449705.1515741812,0.9908615056717592,0.9329958036447317,0.024254579347454466
2022-11-30,Stage 2,12,139056.37,15964.300371051191,0.007431384446297605,0.033120868645103455,0.11480452402900487
2022-11-30,Stage 3,2,31943.510000000002,16331.8066,0.001707109881943215,0.03388332771016484,0.5112715102379168
2022-12-31,Stage 1,1291,19765030.72,504473.0158370934,0.9867075784097302,0.9321057462780225,0.025523512863889614
2022-12-31,Stage 2,18,238707.14,23147.35170090266,0.011916710244228372,0.04276894671111025,0.09696966626512578
